iter	Passed	Remaining
174	3643	17176
175	3661	17144
176	3678	17103
177	3696	17068
178	3712	17029
179	3729	16987
180	3745	16948
181	3765	16923
182	3784	16893
183	3800	16854
184	3816	16814
185	3832	16774
186	3850	16739
187	3866	16698
188	3882	16661
189	3900	16626
190	3916	16589
191	3933	16551
192	3950	16516
193	3970	16494
194	3991	16477
195	4014	16469
196	4037	16459
197	4059	16441
198	4078	16417
199	4095	16381
200	4111	16344
201	4129	16312
202	4146	16278
203	4163	16246
204	4179	16207
205	4195	16170
206	4212	16136
207	4231	16110
208	4247	16074
209	4263	16039
210	4279	16003
211	4295	15966
212	4311	15930
213	4330	15903
214	4346	15869
215	4362	15834
216	4380	15805
217	4396	15772
218	4412	15737
219	4430	15707
220	4447	15677
221	4463	15642
222	4479	15608
223	4495	15574
224	4513	15546
225	4530	15516
226	4547	15483
227	4563	15450
228	4578	15415
229	4594	15382
230	4611	15350
231	4629	15323
232	4649	15304
233	4665	15272
234	4681	15238
235	4697	15207
236	4713	15175
237	4729	15141
238	4747	15115
239	4763	15083
240	4778	15050
241	4796	15022
242	4811	14989
243	4827	14956
244	4845	14931
245	4861	14900
246	4877	14869
247	4893	14838
248	4909	14806
249	4924	14774
250	4940	14744
251	4958	14719
252	4975	14689
253	4991	14660
254	5007	14630
255	5023	14599
256	5039	14568
257	5059	14550
258	5075	14519
259	5091	14491
260	5107	14461
261	5123	14430
262	5139	14401
263	5156	14375
264	5174	14352
265	5189	14321
266	5207	14295
267	5222	14265
268	5238	14234
269	5253	14204
270	5269	14175
271	5286	14149
272	5302	14120
273	5318	14092
274	5334	14064
275	5350	14035
276	5367	14009
277	5384	13984
278	5401	13957
279	5417	13931
280	5433	13903
281	5451	13880
282	5467	13851
283	5484	13827
284	5500	13800
285	5516	13772
286	5532	13744
287	5548	13717
288	5564	13688
289	5581	13665
290	5598	13640
291	5614	13613
292	5636	13600
293	5656	13583
294	5676	13566
295	5704	13566
296	5724	13550
297	5744	13532
298	5760	13504
299	5776	13477
300	5792	13450
301	5809	13426
302	5825	13399
303	5841	13373
304	5859	13351
305	5875	13324
306	5891	13298
307	5909	13276
308	5925	13250
309	5941	13224
310	5957	13197
311	5973	13171
312	5989	13146
313	6007	13125
314	6023	13098
315	6039	13073
316	6055	13047
317	6072	13022
318	6088	12998
319	6106	12976
320	6124	12954
321	6140	12928
322	6157	12905
323	6173	12880
324	6189	12855
325	6207	12833
326	6230	12823
327	6251	12807
328	6276	12801
329	6297	12785
330	6319	12771
331	6336	12748
332	6352	12723
333	6368	12698
334	6384	12673
335	6401	12650
336	6418	12627
337	6434	12602
338	6450	12577
339	6466	12552
340	6481	12526
341	6497	12501
342	6514	12478
343	6532	12457
344	6549	12433
345	6564	12408
346	6581	12384
347	6596	12358
348	6614	12337
349	6632	12316
350	6648	12292
351	6665	12270
352	6681	12246
353	6697	12221
354	6712	12196
355	6729	12172
356	6747	12152
357	6764	12130
358	6781	12108
359	6797	12083
360	6814	12061
361	6830	12037
362	6848	12017
363	6864	11993
364	6882	11973
365	6899	11951
366	6914	11926
367	6930	11901
368	6948	11881
369	6963	11857
370	6980	11834
371	6996	11810
372	7011	11786
373	7028	11763
374	7044	11740
375	7067	11728
376	7083	11705
377	7098	11680
378	7115	11658
379	7131	11635
380	7148	11613
381	7165	11593
382	7181	11569
383	7197	11545
384	7213	11523
385	7228	11498
386	7243	11472
387	7350	11594
388	7393	11612
389	7421	11608
390	7440	11588
391	7458	11567
392	7477	11549
393	7493	11525
394	7508	11500
395	7526	11479
396	7540	11453
397	7556	11429
398	7573	11408
399	7593	11390
400	7611	11370
401	7627	11346
402	7643	11323
403	7660	11300
404	7680	11283
405	7697	11261
406	7713	11238
407	7729	11214
408	7745	11191
409	7760	11167
410	7778	11146
411	7795	11125
412	7812	11103
413	7828	11081
414	7844	11057
415	7862	11037
416	7879	11016
417	7897	10996
418	7913	10973
419	7930	10950
420	7946	10928
421	7962	10906
422	7978	10883
423	7995	10861
424	8017	10847
425	8034	10825
426	8055	10810
427	8075	10792
428	8095	10775
429	8122	10767
430	8142	10749
431	8162	10732
432	8179	10710
433	8195	10688
434	8212	10666
435	8228	10643
436	8244	10621
437	8260	10598
438	8278	10578
439	8294	10556
440	8311	10535
441	8330	10516
442	8346	10494
443	8364	10473
444	8378	10450
445	8394	10427
446	8410	10404
447	8427	10384
448	8445	10364
449	8460	10340
450	8476	10317
451	8492	10295
452	8508	10274
453	8524	10252
454	8540	10230
455	8559	10210
456	8575	10189
457	8601	10179
458	8619	10158
459	8636	10138
460	8654	10118
461	8670	10096
462	8689	10077
463	8705	10055
464	8723	10036
465	8738	10014
466	8757	9994
467	8772	9972
468	8788	9950
469	8805	9930
470	8825	9912
471	8844	9893
472	8862	9874
473	8879	9853
474	8897	9833
475	8914	9813
476	8932	9794
477	8950	9774
478	8970	9757
479	8989	9738
480	9006	9718
481	9025	9699
482	9042	9679
483	9062	9661
484	9084	9646
485	9109	9634
486	9145	9633
487	9168	9619
488	9188	9602
489	9209	9585
490	9229	9568
491	9252	9553
492	9273	9536
493	9295	9521
494	9323	9512
495	9356	9507
496	9378	9491
497	9398	9473
498	9423	9461
499	9444	9444
500	9472	9434
501	9492	9416
502	9515	9401
503	9532	9381
504	9549	9360
505	9568	9341
506	9587	9322
507	9605	9302
508	9622	9282
509	9639	9261
510	9657	9241
511	9684	9230
512	9718	9226
513	9756	9224
514	9791	9221
515	9833	9223
516	9855	9207
517	9882	9195
518	9902	9177
519	9920	9157
520	9939	9138
521	9960	9120
522	9978	9100
523	9999	9083
524	10019	9065
525	10047	9054
526	10068	9036
527	10097	9026
528	10117	9008
529	10139	8991
530	10159	8973
531	10177	8953
532	10198	8935
533	10215	8914
534	10231	8893
535	10251	8874
536	10275	8859
537	10297	8843
538	10321	8828
539	10342	8810
540	10362	8791
541	10378	8770
542	10394	8748
543	10413	8729
544	10431	8708
545	10446	8686
546	10462	8664
547	10478	8642
548	10495	8621
549	10513	8601
550	10530	8581
551	10545	8558
552	10562	8537
553	10580	8518
554	10601	8500
555	10619	8480
556	10639	8461
557	10656	8441
558	10676	8422
559	10695	8403
560	10714	8384
561	10734	8366
562	10752	8345
563	10769	8325
564	10790	8307
565	10807	8287
566	10826	8267
567	10843	8246
568	10858	8225
569	10875	8203
570	10890	8182
571	10907	8161
572	10923	8139
573	10940	8119
574	10957	8099
575	10974	8078
576	10990	8057
577	11006	8035
578	11023	8015
579	11040	7994
580	11058	7975
581	11077	7956
582	11095	7936
583	11111	7914
584	11127	7893
585	11144	7873
586	11161	7852
587	11177	7831
588	11198	7814
589	11214	7792
590	11229	7771
591	11247	7751
592	11263	7730
593	11280	7710
594	11295	7688
595	11311	7667
596	11327	7646
597	11344	7626
598	11360	7605
599	11376	7584
600	11392	7563
601	11407	7542
602	11423	7521
603	11441	7501
604	11462	7483
605	11479	7463
606	11494	7442
607	11510	7421
608	11525	7400
609	11544	7380
610	11560	7360
611	11576	7339
612	11592	7318
613	11609	7298
614	11626	7278
615	11641	7257
616	11659	7237
617	11675	7216
618	11690	7195
619	11706	7175
620	11722	7154
621	11738	7133
622	11756	7114
623	11772	7093
624	11788	7073
625	11804	7052
626	11820	7031
627	11836	7011
628	11855	6992
629	11873	6973
630	11889	6952
631	11905	6932
632	11921	6912
633	11937	6891
634	11953	6870
635	11971	6851
636	11987	6831
637	12004	6811
638	12020	6790
639	12036	6770
640	12056	6752
641	12080	6736
642	12101	6718
643	12123	6701
644	12145	6684
645	12167	6667
646	12184	6647
647	12201	6627
648	12218	6608
649	12234	6587
650	12250	6567
651	12268	6548
652	12286	6529
653	12306	6510
654	12325	6492
655	12340	6471
656	12356	6450
657	12371	6430
658	12386	6409
659	12405	6390
660	12424	6371
661	12438	6350
662	12453	6330
663	12469	6310
664	12485	6289
665	12503	6270
666	12522	6251
667	12540	6232
668	12555	6212
669	12571	6191
670	12587	6171
671	12604	6152
672	12621	6132
673	12637	6112
674	12653	6092
675	12669	6072
676	12686	6052
677	12703	6033
678	12720	6013
679	12736	5993
680	12752	5973
681	12768	5953
682	12783	5933
683	12798	5912
684	12818	5894
685	12833	5874
686	12847	5853
687	12863	5833
688	12879	5813
689	12894	5793
690	12912	5774
691	12929	5754
692	12944	5734
693	12964	5716
694	12978	5695
695	12997	5677
696	13013	5657
697	13030	5637
698	13045	5617
699	13060	5597
700	13078	5578
701	13092	5557
702	13109	5538
703	13126	5519
704	13142	5499
705	13158	5479
706	13174	5459
707	13190	5440
708	13205	5420
709	13221	5400
710	13239	5381
711	13256	5362
712	13271	5342
713	13287	5322
714	13303	5302
715	13319	5283
716	13337	5264
717	13353	5244
718	13370	5225
719	13385	5205
720	13402	5186
721	13418	5166
722	13434	5147
723	13452	5128
724	13467	5108
725	13485	5089
726	13501	5069
727	13518	5050
728	13534	5031
729	13552	5012
730	13569	4993
731	13584	4973
732	13600	4954
733	13617	4934
734	13632	4915
735	13651	4896
736	13674	4879
737	13694	4861
738	13715	4843
739	13740	4827
740	13761	4810
741	13781	4792
742	13797	4772
743	13813	4752
744	13828	4733
745	13845	4714
746	13865	4696
747	13881	4676
748	13897	4657
749	13913	4637
750	13929	4618
751	13946	4599
752	13962	4580
753	13980	4561
754	13996	4541
755	14013	4522
756	14029	4503
757	14045	4484
758	14061	4464
759	14078	4445
760	14095	4426
761	14110	4407
762	14126	4388
763	14142	4368
764	14158	4349
765	14175	4330
766	14191	4311
767	14207	4291
768	14223	4272
769	14246	4255
770	14277	4240
771	14299	4223
772	14317	4204
773	14333	4185
774	14349	4165
775	14365	4146
776	14382	4127
777	14399	4108
778	14415	4089
779	14430	4070
780	14445	4050
781	14462	4031
782	14482	4013
783	14500	3994
784	14516	3975
785	14532	3956
786	14549	3937
787	14565	3918
788	14582	3899
789	14600	3881
790	14617	3862
791	14633	3843
792	14651	3824
793	14673	3807
794	14690	3788
795	14707	3769
796	14722	3749
797	14740	3731
798	14755	3712
799	14770	3692
800	14785	3673
801	14801	3654
802	14820	3635
803	14836	3616
804	14850	3597
805	14866	3578
806	14882	3559
807	14898	3540
808	14919	3522
809	14936	3503
810	14952	3484
811	14966	3465
812	14982	3446
813	14999	3427
814	15017	3408
815	15032	3389
816	15047	3370
817	15067	3352
818	15083	3333
819	15099	3314
820	15117	3296
821	15134	3277
822	15150	3258
823	15164	3239
824	15178	3219
825	15194	3200
826	15214	3182
827	15230	3163
828	15244	3144
829	15260	3125
830	15276	3106
831	15292	3087
832	15308	3069
833	15326	3050
834	15343	3031
835	15358	3012
836	15375	2994
837	15390	2975
838	15406	2956
839	15425	2938
840	15441	2919
841	15460	2901
842	15474	2881
843	15489	2862
844	15506	2844
845	15529	2826
846	15546	2808
847	15562	2789
848	15578	2770
849	15594	2751
850	15612	2733
851	15629	2714
852	15648	2696
853	15664	2677
854	15681	2659
855	15696	2640
856	15716	2622
857	15732	2603
858	15749	2585
859	15765	2566
860	15781	2547
861	15796	2528
862	15813	2510
863	15830	2491
864	15846	2473
865	15864	2454
866	15881	2436
867	15897	2417
868	15913	2398
869	15934	2381
870	15949	2362
871	15965	2343
872	15983	2325
873	15999	2306
874	16019	2288
875	16037	2270
876	16055	2251
877	16071	2233
878	16088	2214
879	16105	2196
880	16122	2177
881	16138	2159
882	16154	2140
883	16171	2122
884	16187	2103
885	16203	2084
886	16222	2066
887	16241	2048
888	16257	2029
889	16274	2011
890	16291	1993
891	16310	1974
892	16331	1956
893	16353	1939
894	16372	1920
895	16391	1902
896	16417	1885
897	16472	1870
898	16508	1854
899	16553	1839
900	16586	1822
901	16608	1804
902	16631	1786
903	16650	1768
904	16673	1750
905	16691	1731
906	16713	1713
907	16732	1695
908	16753	1677
909	16776	1659
910	16838	1645
911	16887	1629
912	16933	1613
913	16953	1595
914	16977	1577
915	16994	1558
916	17010	1539
917	17027	1520
918	17050	1502
919	17076	1484
920	17096	1466
921	17120	1448
922	17142	1430
923	17161	1411
924	17179	1392
925	17197	1374
926	17215	1355
927	17231	1336
928	17247	1318
929	17262	1299
930	17280	1280
931	17297	1262
932	17313	1243
933	17329	1224
934	17345	1205
935	17362	1187
936	17379	1168
937	17395	1149
938	17411	1131
939	17426	1112
940	17442	1093
941	17461	1075
942	17479	1056
943	17495	1037
944	17511	1019
945	17527	1000
946	17543	981
947	17559	963
948	17577	944
949	17595	926
950	17613	907
951	17629	888
952	17647	870
953	17664	851
954	17685	833
955	17703	814
956	17721	796
957	17739	777
958	17757	759
959	17776	740
960	17793	722
961	17810	703
962	17826	684
963	17844	666
964	17866	647
965	17886	629
966	17905	611
967	17923	592
968	17941	573
969	17962	555
970	17987	537
971	18026	519
972	18048	500
973	18070	482
974	18091	463
975	18109	445
976	18127	426
977	18144	408
978	18161	389
979	18179	371
980	18199	352
981	18215	333
982	18234	315
983	18253	296
984	18274	278
985	18293	259
986	18312	241
987	18329	222
988	18345	204
989	18362	185
990	18379	166
991	18398	148
992	18415	129
993	18432	111
994	18449	92
995	18466	74
996	18482	55
997	18499	37
998	18519	18
999	18536	0
